"SNP_Type","Coverage","MAF","r2"
"Non Archaic SNPs","0.0625X",0.01,0.306260994670356
"Non Archaic SNPs","0.0625X",0.03,0.609881175497275
"Non Archaic SNPs","0.0625X",0.05,0.697647061131228
"Non Archaic SNPs","0.0625X",0.07,0.717645355671402
"Non Archaic SNPs","0.0625X",0.09,0.757610574070983
"Non Archaic SNPs","0.0625X",0.11,0.766281750692929
"Non Archaic SNPs","0.0625X",0.13,0.791879559650695
"Non Archaic SNPs","0.0625X",0.15,0.796929445605456
"Non Archaic SNPs","0.0625X",0.17,0.806970479288586
"Non Archaic SNPs","0.0625X",0.19,0.812019942738603
"Archaic SNPs","0.0625X",0.01,0.748455025359688
"Archaic SNPs","0.0625X",0.03,0.807380708615892
"Archaic SNPs","0.0625X",0.05,0.816377801847032
"Archaic SNPs","0.0625X",0.07,0.834249703481624
"Archaic SNPs","0.0625X",0.09,0.845097744617563
"Archaic SNPs","0.0625X",0.11,0.854246717897779
"Archaic SNPs","0.0625X",0.13,0.859492140558592
"Archaic SNPs","0.0625X",0.15,0.874062767902814
"Archaic SNPs","0.0625X",0.17,0.893093661925602
"Archaic SNPs","0.0625X",0.19,0.939237006072874
"Non Archaic SNPs","2X",0.01,0.891773022470065
"Non Archaic SNPs","2X",0.03,0.979155603309241
"Non Archaic SNPs","2X",0.05,0.987433916355531
"Non Archaic SNPs","2X",0.07,0.989084404413626
"Non Archaic SNPs","2X",0.09,0.990780433011165
"Non Archaic SNPs","2X",0.11,0.992529516892651
"Non Archaic SNPs","2X",0.13,0.992889288480065
"Non Archaic SNPs","2X",0.15,0.992878628775466
"Non Archaic SNPs","2X",0.17,0.993385473322348
"Non Archaic SNPs","2X",0.19,0.993684843116781
"Archaic SNPs","2X",0.01,0.981695261474158
"Archaic SNPs","2X",0.03,0.994991299817423
"Archaic SNPs","2X",0.05,0.995668707388125
"Archaic SNPs","2X",0.07,0.995140515957447
"Archaic SNPs","2X",0.09,0.994789304674221
"Archaic SNPs","2X",0.11,0.996479432544699
"Archaic SNPs","2X",0.13,0.992908272920461
"Archaic SNPs","2X",0.15,0.995821413043478
"Archaic SNPs","2X",0.17,0.995048182713348
"Archaic SNPs","2X",0.19,0.998382110323887
"Non Archaic SNPs","1X",0.01,0.817435199894713
"Non Archaic SNPs","1X",0.03,0.95773272265695
"Non Archaic SNPs","1X",0.05,0.974709349289496
"Non Archaic SNPs","1X",0.07,0.978803791162626
"Non Archaic SNPs","1X",0.09,0.983324502332945
"Non Archaic SNPs","1X",0.11,0.985319999101056
"Non Archaic SNPs","1X",0.13,0.986764807296684
"Non Archaic SNPs","1X",0.15,0.987005011160232
"Non Archaic SNPs","1X",0.17,0.988327846127621
