"SNP_Type","Coverage","MAF","r2"
"Non Archaic SNPs","0.0625X",0.01,0.366465282198041
"Non Archaic SNPs","0.0625X",0.03,0.673688631286356
"Non Archaic SNPs","0.0625X",0.05,0.750944092021898
"Non Archaic SNPs","0.0625X",0.07,0.774121912033111
"Non Archaic SNPs","0.0625X",0.09,0.796324192961822
"Non Archaic SNPs","0.0625X",0.11,0.808655527605184
"Non Archaic SNPs","0.0625X",0.13,0.819684593025425
"Non Archaic SNPs","0.0625X",0.15,0.827120877889917
"Non Archaic SNPs","0.0625X",0.17,0.836635717639425
"Non Archaic SNPs","0.0625X",0.19,0.844826611897432
"Archaic SNPs","0.0625X",0.01,0.755092138047266
"Archaic SNPs","0.0625X",0.03,0.808046756865138
"Archaic SNPs","0.0625X",0.05,0.817002773737123
"Archaic SNPs","0.0625X",0.07,0.836115733055365
"Archaic SNPs","0.0625X",0.09,0.845300096230158
"Archaic SNPs","0.0625X",0.11,0.854860739996379
"Archaic SNPs","0.0625X",0.13,0.860383755244756
"Archaic SNPs","0.0625X",0.15,0.874075067178503
"Archaic SNPs","0.0625X",0.17,0.893135561883899
"Archaic SNPs","0.0625X",0.19,0.939237006072874
"Non Archaic SNPs","2X",0.01,0.904591927283077
"Non Archaic SNPs","2X",0.03,0.983906365869202
"Non Archaic SNPs","2X",0.05,0.991144537719802
"Non Archaic SNPs","2X",0.07,0.993208708000462
"Non Archaic SNPs","2X",0.09,0.994079430904111
"Non Archaic SNPs","2X",0.11,0.993586896088391
"Non Archaic SNPs","2X",0.13,0.994207974864574
"Non Archaic SNPs","2X",0.15,0.994456610704803
"Non Archaic SNPs","2X",0.17,0.994992734634503
"Non Archaic SNPs","2X",0.19,0.995016682643611
"Archaic SNPs","2X",0.01,0.984635736414589
"Archaic SNPs","2X",0.03,0.995127316755296
"Archaic SNPs","2X",0.05,0.995901911567581
"Archaic SNPs","2X",0.07,0.995399574129739
"Archaic SNPs","2X",0.09,0.994840653628118
"Archaic SNPs","2X",0.11,0.996736883215644
"Archaic SNPs","2X",0.13,0.992984845545759
"Archaic SNPs","2X",0.15,0.995818739603327
"Archaic SNPs","2X",0.17,0.995042759036145
"Archaic SNPs","2X",0.19,0.998382110323887
"Non Archaic SNPs","1X",0.01,0.842464440622088
"Non Archaic SNPs","1X",0.03,0.969776786065835
"Non Archaic SNPs","1X",0.05,0.982989285593528
"Non Archaic SNPs","1X",0.07,0.98699009790191
"Non Archaic SNPs","1X",0.09,0.9893286825656
"Non Archaic SNPs","1X",0.11,0.989133354479901
"Non Archaic SNPs","1X",0.13,0.989757072383934
"Non Archaic SNPs","1X",0.15,0.990287031136976
"Non Archaic SNPs","1X",0.17,0.991505654497566
"Non Archaic SNPs","1X",0.19,0.991611638087406
"Archaic SNPs","1X",0.01,0.974700411704979
"Archaic SNPs","1X",0.03,0.991450653256037
"Archaic SNPs","1X",0.05,0.991603781556411
"Archaic SNPs","1X",0.07,0.991969135944924
"Archaic SNPs","1X",0.09,0.991164998015873
"Archaic SNPs","1X",0.11,0.995212493391273
"Archaic SNPs","1X",0.13,0.991149636971724
"Archaic SNPs","1X",0.15,0.993270944977607
"Archaic SNPs","1X",0.17,0.994452058050383
"Archaic SNPs","1X",0.19,0.995828563765182
"Non Archaic SNPs","0.5X",0.01,0.764871301694037
"Non Archaic SNPs","0.5X",0.03,0.944793407308175
"Non Archaic SNPs","0.5X",0.05,0.968030084476912
"Non Archaic SNPs","0.5X",0.07,0.974714452444216
"Non Archaic SNPs","0.5X",0.09,0.978333214883601
"Non Archaic SNPs","0.5X",0.11,0.979310125955306
"Non Archaic SNPs","0.5X",0.13,0.980996086374467
"Non Archaic SNPs","0.5X",0.15,0.98184047690908
"Non Archaic SNPs","0.5X",0.17,0.983759130380177
"Non Archaic SNPs","0.5X",0.19,0.984359369514337
"Archaic SNPs","0.5X",0.01,0.959824975103566
"Archaic SNPs","0.5X",0.03,0.984304004663935
"Archaic SNPs","0.5X",0.05,0.983749829589177
"Archaic SNPs","0.5X",0.07,0.985516461456414
"Archaic SNPs","0.5X",0.09,0.984627169501134
"Archaic SNPs","0.5X",0.11,0.988636832880681
"Archaic SNPs","0.5X",0.13,0.986308065369413
"Archaic SNPs","0.5X",0.15,0.982344846449136
"Archaic SNPs","0.5X",0.17,0.988032444687842
"Archaic SNPs","0.5X",0.19,0.993360484817814
"Non Archaic SNPs","ImputedOC",0.01,0.993308851391562
"Non Archaic SNPs","ImputedOC",0.03,0.998979801630922
"Non Archaic SNPs","ImputedOC",0.05,0.998955040162332
"Non Archaic SNPs","ImputedOC",0.07,0.999243132526371
"Non Archaic SNPs","ImputedOC",0.09,0.999106584445071
"Non Archaic SNPs","ImputedOC",0.11,0.998940258468041
"Non Archaic SNPs","ImputedOC",0.13,0.9987772211975
"Non Archaic SNPs","ImputedOC",0.15,0.998726025052267
"Non Archaic SNPs","ImputedOC",0.17,0.998766747354472
"Non Archaic SNPs","ImputedOC",0.19,0.998891488571312
"Archaic SNPs","ImputedOC",0.01,0.997955006808094
"Archaic SNPs","ImputedOC",0.03,0.999573704178915
"Archaic SNPs","ImputedOC",0.05,0.999539003781252
"Archaic SNPs","ImputedOC",0.07,0.999207098097399
"Archaic SNPs","ImputedOC",0.09,0.999327234651405
"Archaic SNPs","ImputedOC",0.11,0.999665396546106
"Archaic SNPs","ImputedOC",0.13,0.998557617526618
"Archaic SNPs","ImputedOC",0.15,0.999699396825397
"Archaic SNPs","ImputedOC",0.17,0.999997743615935
"Archaic SNPs","ImputedOC",0.19,0.999079189686924
