Sample	Coverage	D	Z.score	Filter	Data Type	Software
2H10	0.0625X	-0.1155	-14.118	Imputed Filtered GP99	Imputed	Admixtools
2H11	0.0625X	-0.1209	-12.611	Imputed Filtered GP99	Imputed	Admixtools
atp016	0.0625X	-0.1229	-14.164	Imputed Filtered GP99	Imputed	Admixtools
BA64	0.0625X	-0.1314	-13.739	Imputed Filtered GP99	Imputed	Admixtools
BOT2016	0.0625X	-0.1315	-15.829	Imputed Filtered GP99	Imputed	Admixtools
JP14	0.0625X	-0.1165	-11.321	Imputed Filtered GP99	Imputed	Admixtools
KK1	0.0625X	-0.1253	-13.233	Imputed Filtered GP99	Imputed	Admixtools
Kolyma1	0.0625X	-0.1501	-16.759	Imputed Filtered GP99	Imputed	Admixtools
Loschbour	0.0625X	-0.1352	-14.91	Imputed Filtered GP99	Imputed	Admixtools
Mota	0.0625X	-0.1246	-13.196	Imputed Filtered GP99	Imputed	Admixtools
NE1	0.0625X	-0.1262	-15.799	Imputed Filtered GP99	Imputed	Admixtools
PB675	0.0625X	-0.1267	-7.309	Imputed Filtered GP99	Imputed	Admixtools
sf12	0.0625X	-0.1278	-12.037	Imputed Filtered GP99	Imputed	Admixtools
SRA62	0.0625X	-0.1303	-14.536	Imputed Filtered GP99	Imputed	Admixtools
Stuttgart	0.0625X	-0.1264	-17.177	Imputed Filtered GP99	Imputed	Admixtools
USR1	0.0625X	-0.1227	-18.14	Imputed Filtered GP99	Imputed	Admixtools
Ust_Ishim	0.0625X	-0.1268	-14.07	Imputed Filtered GP99	Imputed	Admixtools
WC1	0.0625X	-0.1294	-13.942	Imputed Filtered GP99	Imputed	Admixtools
Yamnaya	0.0625X	-0.1223	-15.558	Imputed Filtered GP99	Imputed	Admixtools
Yana1	0.0625X	-0.1303	-19.954	Imputed Filtered GP99	Imputed	Admixtools
2H10	0.0625X	-0.0506	-14.872	Imputed Raw	Imputed	Admixtools
2H11	0.0625X	-0.0552	-13.148	Imputed Raw	Imputed	Admixtools
atp016	0.0625X	-0.0541	-10.994	Imputed Raw	Imputed	Admixtools
BA64	0.0625X	-0.0586	-12.013	Imputed Raw	Imputed	Admixtools
BOT2016	0.0625X	-0.0558	-13.608	Imputed Raw	Imputed	Admixtools
JP14	0.0625X	-0.0564	-9.717	Imputed Raw	Imputed	Admixtools
KK1	0.0625X	-0.046	-9.978	Imputed Raw	Imputed	Admixtools
Kolyma1	0.0625X	-0.0634	-11.634	Imputed Raw	Imputed	Admixtools
Loschbour	0.0625X	-0.0616	-15.837	Imputed Raw	Imputed	Admixtools
Mota	0.0625X	-0.0252	-9.776	Imputed Raw	Imputed	Admixtools
NE1	0.0625X	-0.055	-11.899	Imputed Raw	Imputed	Admixtools
PB675	0.0625X	-0.0574	-9.464	Imputed Raw	Imputed	Admixtools
sf12	0.0625X	-0.0551	-8.32	Imputed Raw	Imputed	Admixtools
SRA62	0.0625X	-0.0616	-13.422	Imputed Raw	Imputed	Admixtools
Stuttgart	0.0625X	-0.0549	-13.796	Imputed Raw	Imputed	Admixtools
USR1	0.0625X	-0.0507	-12.082	Imputed Raw	Imputed	Admixtools
Ust_Ishim	0.0625X	-0.0584	-9.75	Imputed Raw	Imputed	Admixtools
WC1	0.0625X	-0.0484	-10.381	Imputed Raw	Imputed	Admixtools
Yamnaya	0.0625X	-0.0538	-13.044	Imputed Raw	Imputed	Admixtools
Yana1	0.0625X	-0.0649	-13.296	Imputed Raw	Imputed	Admixtools
2H10	0.0625X	-0.0385	-5.615	Pseudohaploid	Pseudohaploid	Admixtools
2H11	0.0625X	-0.0337	-5.146	Pseudohaploid	Pseudohaploid	Admixtools
atp016	0.0625X	-0.0273	-3.85	Pseudohaploid	Pseudohaploid	Admixtools
BA64	0.0625X	-0.0241	-3.47	Pseudohaploid	Pseudohaploid	Admixtools
BOT2016	0.0625X	-0.0302	-5.675	Pseudohaploid	Pseudohaploid	Admixtools
JP14	0.0625X	-0.0343	-5.578	Pseudohaploid	Pseudohaploid	Admixtools
KK1	0.0625X	0.007	0.954	Pseudohaploid	Pseudohaploid	Admixtools
