Individual,Coverage,Name,IID,Population,Date.mean.in.BP.in.years.before.1950.CE..OxCal.mu.for.a.direct.radiocarbon.date..and.average.of.range.for.a.contextual.date.,Country,Lat.,Long.,Coverage..X.,Study,UDG,Data.source,color
2H10_0.0625X,0.0625X,2H10,2H10,European Neolithic,5165,France,48.85847,3.995887,14.8702,seguin-orlando_2021,Y,Shotgun,#8d2962ff
2H10_0.5X,0.5X,2H10,2H10,European Neolithic,5165,France,48.85847,3.995887,14.8702,seguin-orlando_2021,Y,Shotgun,#8d2962ff
2H10_1X,1X,2H10,2H10,European Neolithic,5165,France,48.85847,3.995887,14.8702,seguin-orlando_2021,Y,Shotgun,#8d2962ff
2H10_2X,2X,2H10,2H10,European Neolithic,5165,France,48.85847,3.995887,14.8702,seguin-orlando_2021,Y,Shotgun,#8d2962ff
2H10_Original,Original,2H10,2H10,European Neolithic,5165,France,48.85847,3.995887,14.8702,seguin-orlando_2021,Y,Shotgun,#8d2962ff
2H10_ImputedOC,ImputedOC,2H10,2H10,European Neolithic,5165,France,48.85847,3.995887,14.8702,seguin-orlando_2021,Y,Shotgun,#8d2962ff
2H11_0.0625X,0.0625X,2H11,2H11,European Neolithic,5162,France,48.85847,3.995887,19.1261,seguin-orlando_2021,Y,Shotgun,#8d2962ff
2H11_0.5X,0.5X,2H11,2H11,European Neolithic,5162,France,48.85847,3.995887,19.1261,seguin-orlando_2021,Y,Shotgun,#8d2962ff
2H11_1X,1X,2H11,2H11,European Neolithic,5162,France,48.85847,3.995887,19.1261,seguin-orlando_2021,Y,Shotgun,#8d2962ff
2H11_2X,2X,2H11,2H11,European Neolithic,5162,France,48.85847,3.995887,19.1261,seguin-orlando_2021,Y,Shotgun,#8d2962ff
2H11_Original,Original,2H11,2H11,European Neolithic,5162,France,48.85847,3.995887,19.1261,seguin-orlando_2021,Y,Shotgun,#8d2962ff
2H11_ImputedOC,ImputedOC,2H11,2H11,European Neolithic,5162,France,48.85847,3.995887,19.1261,seguin-orlando_2021,Y,Shotgun,#8d2962ff
BA64_0.0625X,0.0625X,BA64,BA64,European Neolithic,3186,,54.54,-5.95,10.217,cassidy_2016,N,Shotgun,#8d2962ff
BA64_0.5X,0.5X,BA64,BA64,European Neolithic,3186,,54.54,-5.95,10.217,cassidy_2016,N,Shotgun,#8d2962ff
BA64_1X,1X,BA64,BA64,European Neolithic,3186,,54.54,-5.95,10.217,cassidy_2016,N,Shotgun,#8d2962ff
BA64_2X,2X,BA64,BA64,European Neolithic,3186,,54.54,-5.95,10.217,cassidy_2016,N,Shotgun,#8d2962ff
BA64_Original,Original,BA64,BA64,European Neolithic,3186,,54.54,-5.95,10.217,cassidy_2016,N,Shotgun,#8d2962ff
BA64_ImputedOC,ImputedOC,BA64,BA64,European Neolithic,3186,,54.54,-5.95,10.217,cassidy_2016,N,Shotgun,#8d2962ff
