Coverage,Sample,KHV,JPT,CDX,CHS,CHB,BEB,GIH,ITU,STU,PJL,CEU,GBR,TSI,IBS,FIN
HC,USR1,0.08522269792486109,0.0928775145365473,0.08422737060609317,0.08876006625004207,0.09111543863902447,0.06053442969087744,0.054775968687918945,0.05720521498316108,0.05475277827734183,0.05758278830332121,0.05482518082572744,0.05491492465559708,0.050433058351761526,0.051067033099934996,0.06170553516779037
HC,Kolyma1,0.0885294482230371,0.09981115280765637,0.0845030547097092,0.09283897369231775,0.09463260949691339,0.0647111702155243,0.057394606673542556,0.06170410631524574,0.059381030314839774,0.0581869227878774,0.04891996557411058,0.04850380572189214,0.04344985660585587,0.04191437958744912,0.0555189172740287
HC,KK1,0.035907966373962506,0.03868999072499835,0.034297861943746434,0.036749402432530595,0.04147601125557756,0.06538541286391018,0.08103703255432888,0.07126319242512795,0.06801285474028251,0.07974185449609972,0.08880791204579001,0.09125007135613596,0.10002889334011465,0.08779662802949588,0.07955491541789887
HC,Loschbour,0.050109990997770554,0.05114918666037253,0.04969408225260591,0.051504512407277346,0.050903850255457,0.050923535249742066,0.05498617087363127,0.05103178034925071,0.05004972470082575,0.05671824497855617,0.10211987746978274,0.09877556949372825,0.08730631408310473,0.09461033381366221,0.10011682641423286
HC,sf12,0.051941127043308916,0.053398038384366235,0.05180477335924813,0.05196495290748638,0.05211670764163127,0.05935553732361988,0.06503855883218153,0.059105314663375284,0.058283583873140324,0.065318040109316,0.09034205775839449,0.09010759485012983,0.08127632343081768,0.08361065749625408,0.08633673232673006
HC,SRA62,0.043094746330489424,0.04132802308277251,0.041040661965923465,0.04165873635010778,0.041244696853662624,0.05551797857931747,0.05832997158398381,0.05412515128638963,0.052591614174166745,0.05938601943338885,0.1078991480740305,0.10232320721656549,0.09263404949546782,0.10120897064517494,0.10761702492855897
HC,2H10,0.03967446841305318,0.039034129241485825,0.03959511830604167,0.04198184304211429,0.04275875860486174,0.05088843499958017,0.05723541259372141,0.053985346773710925,0.050868883639650656,0.0618522380416093,0.10591215428399212,0.10230632153431383,0.10811393236598363,0.1098871676732047,0.09590579048667655
HC,2H11,0.04261594904548594,0.04508064685190981,0.04427050625545186,0.04449110108959992,0.043353609828128734,0.056315493897638284,0.05916895578354384,0.05540126867978439,0.05438485131561864,0.06079393835315862,0.10160729702568266,0.09857727574863874,0.09652906942547042,0.10094712355846239,0.09646291314142585
HC,atp016,0.034902160305031474,0.03407131599480144,0.03240098902325154,0.036273845344934594,0.0363541367010139,0.0557241101651072,0.06926675069882747,0.060525846026107305,0.05972334167204151,0.0710145530816548,0.10475957540187637,0.09680269054237228,0.1087415808835233,0.10827987025217557,0.09115923390728133
HC,BA64,0.04427822946352403,0.03649904238011195,0.04136814192583155,0.04028098709078575,0.04010784636102656,0.04684645402345062,0.05933508946686267,0.048535185206194424,0.04794033866727413,0.055194752376189496,0.11231948896767247,0.10269027366946022,0.11682909846047865,0.11307852908354801,0.09469654285758944
HC,JP14,0.045124168146084324,0.044606560794588364,0.043700947065275116,0.04437369622838408,0.045489677083383036,0.05605870633237362,0.05746959040970323,0.05652300403880322,0.05532759481058925,0.06146880354753601,0.09959374157465477,0.09617998338696963,0.10051428692930778,0.10085144336607438,0.09271779628627334
HC,NE1,0.04363927824906089,0.04762395636409828,0.04151651321186642,0.04505042867245634,0.04734753975234596,0.05551195944339319,0.06291180281661209,0.05799240379806583,0.05636999462285439,0.06461936344751366,0.09583084664146715,0.09215914420770589,0.10337208424413742,0.09912073043100361,0.08693395409741903
HC,PB675,0.040614642537936736,0.03977525656024259,0.03974290877823116,0.03829186713829412,0.03929641845465942,0.053175327318245647,0.06051381316670816,0.05494014667625633,0.05562352494725414,0.06313778611817458,0.10548586131917533,0.10005019004310312,0.10489550706635231,0.10915363319436416,0.09530311668100219
HC,Stuttgart,0.05428637548753654,0.05201595894124693,0.054494278263286254,0.05666242006379825,0.05365485837081447,0.052171327413818525,0.058714572577787824,0.055030084115360256,0.05554628813606648,0.06083578777574224,0.08876183008857237,0.08543208203952349,0.09569480046623385,0.0913241834172683,0.08537515284294418
HC,WC1,0.03757893226822352,0.04683927251931764,0.03449745561522241,0.03785835067797962,0.03841940904128567,0.07657903439847313,0.08918281426706623,0.07706343685180743,0.07525197006175068,0.08257244532819981,0.08016992508840722,0.07405491893528325,0.08909924073393201,0.07751780019770604,0.0833149940153453
HC,Ust_Ishim,0.06881513384806023,0.06767466032098385,0.07011483244116905,0.07035910910232034,0.06832603247164377,0.0654434101285732,0.06023651421216877,0.06451946141849528,0.0636045701918303,0.06503291140068299,0.06579631314817647,0.06973615437958794,0.06685984330613934,0.06668982970479859,0.06679122392536974
HC,Yana1,0.07057689928021292,0.07151141652712016,0.07078436716718509,0.0705505196910299,0.07104977858945245,0.06277007369378507,0.06271010329605563,0.05952370862998394,0.060332473703989496,0.061290691186918,0.06949389903985521,0.06831194036535035,0.06436402100156055,0.06478147413952111,0.07194863368798012
HC,BOT2016,0.05782285812203605,0.061897830722675365,0.055302369451269845,0.0584671859206512,0.059614684395907704,0.06075676749183988,0.06265171257577233,0.060696723001099386,0.056463539624206166,0.06413747316679527,0.08484187923129982,0.08297116979020717,0.07093689288581524,0.07378843031962441,0.08965048330080023
HC,Yamnaya,0.05072864298888061,0.04871743691702571,0.04846083779962524,0.05024263615550021,0.048724672331470154,0.06360141554578132,0.06970052347698734,0.0646598371685277,0.06076649670190993,0.06920758422886077,0.08797755375582506,0.08919859282246763,0.08112396501706622,0.08081458250160287,0.08607522258846939
