Coverage,Sample,SouthAsia,WestEurasia,EastAsia,SouthAsia_WestEurasia,EastAsia_SouthAsia,EastAsia_WestEurasia,EastAsia_SouthAsia_WestEurasia,NotFound
HC,Ust_Ishim,4.5,16.7,13.4,8.9,6.7,6.7,25.6,17.6
HC,Yana1,6.3,22.2,11.9,9.5,5.6,6.3,24.6,13.6
HC,USR1,4.4,9.8,37.4,7.1,8.0,5.3,18.7,9.2
HC,Kolyma1,1.9,10.3,38.6,4.7,10.3,6.6,18.8,8.8
HC,KK1,7.8,23.3,0,34.9,0,11.6,19.4,2.9
HC,WC1,0,25.2,0,25.2,0,0,29.3,20.3
HC,BOT2016,3.1,26.5,15.3,19.4,4.1,8.1,19.4,4.3
HC,Yamnaya,6.9,29.1,3.5,18.7,3.5,4.8,18.7,14.9
HC,Stuttgart,2.3,25.3,6.9,20.7,2.3,4.6,21.9,16.0
HC,NE1,3.6,37.3,4.6,15.5,0.9,10.0,13.7,14.4
HC,JP14,2.0,35.8,2.0,17.4,2.0,5.1,21.5,14.2
HC,PB675,6.4,33.1,4.3,24.5,1.1,5.3,10.7,14.6
HC,2H10,2.3,24.9,9.1,22.7,0,4.5,27.2,9.4
HC,2H11,2.8,38.7,4.7,18.9,1.9,9.4,10.4,13.1
HC,atp016,3.3,32.5,4.9,19.5,1.6,3.3,24.4,10.5
HC,BA64,0,48.1,8.8,8.8,0,4.4,17.5,12.5
HC,sf12,3.2,28.9,8.8,19.3,0.8,6.4,13.7,18.9
HC,Loschbour,4.6,37.8,3.4,12.6,0,4.6,24.1,12.9
HC,SRA62,3.8,45.9,1.3,11.5,1.3,3.8,19.1,13.2
ImputedHC,Ust_Ishim,3.6,17.2,11.8,6.3,5.4,5.4,23.5,26.7
ImputedHC,Yana1,5.1,19.6,12.6,10.7,5.7,5.1,19.6,21.6
ImputedHC,USR1,2.2,9.5,33.1,6.2,6.7,5.6,15.1,21.5
ImputedHC,Kolyma1,1.6,10.7,31.1,4.8,10.2,7.0,12.3,22.3
ImputedHC,KK1,3.8,23.1,11.5,18.5,1.5,3.8,13.9,23.8
ImputedHC,WC1,5.7,19.9,5.7,17.1,1.9,1.9,19.9,28.0
ImputedHC,BOT2016,2.5,16.6,19.1,14.6,6.4,3.2,13.4,24.2
ImputedHC,Yamnaya,7.3,28.5,2.7,15.2,3.3,4.6,15.2,23.1
ImputedHC,Stuttgart,2.4,26.9,5.7,19.6,0.8,4.9,15.5,24.1
ImputedHC,NE1,2.2,31.1,5.9,14.1,2.2,8.9,12.6,23.0
ImputedHC,JP14,0.9,27.5,6.0,14.6,0,6.0,18.9,26.1
ImputedHC,PB675,4.4,29.0,4.4,18.9,1.5,6.5,8.7,26.7
ImputedHC,2H10,2.1,26.8,9.3,17.5,3.1,0,15.5,25.8
ImputedHC,2H11,3.0,31.0,3.8,15.1,3.0,6.8,12.8,24.5
ImputedHC,atp016,4.3,33.3,6.8,15.4,2.6,2.6,12.8,22.2
ImputedHC,BA64,4.2,29.2,5.6,13.2,0.7,7.7,13.9,25.5
ImputedHC,sf12,1.5,25.6,9.8,18.0,2.3,6.8,10.5,25.5
ImputedHC,Loschbour,5.0,25.1,10.7,13.6,2.1,7.2,12.9,23.3
ImputedHC,SRA62,5.3,31.9,0.9,14.2,4.4,0.9,20.4,22.1
2X,Ust_Ishim,2.7,18.2,11.8,7.3,6.4,6.4,21.9,25.3
2X,Yana1,5.0,19.4,13.1,12.5,5.0,5.0,18.1,21.9
2X,USR1,2.1,9.4,34.9,6.8,6.2,5.7,14.6,20.4
2X,Kolyma1,3.0,10.3,31.5,5.4,8.9,7.4,13.8,19.8
2X,KK1,5.6,22.5,12.0,19.0,2.1,4.2,12.7,21.8
2X,WC1,4.0,24.1,4.8,16.8,1.6,1.6,20.0,27.0
2X,BOT2016,3.3,16.2,19.5,13.9,5.6,4.5,13.4,23.6
2X,Yamnaya,7.7,26.7,3.6,17.2,2.4,4.2,14.9,23.4
2X,Stuttgart,2.1,26.2,4.9,18.4,2.1,5.7,15.6,25.1
2X,NE1,2.0,33.9,4.7,13.5,2.7,8.1,12.2,22.8
2X,JP14,1.5,27.5,4.5,17.8,0,5.9,17.1,25.7
2X,PB675,4.0,28.2,5.4,17.5,1.3,7.4,9.4,26.7
2X,2H10,2.3,29.9,7.7,14.6,3.1,0,17.6,24.8
2X,2H11,2.9,32.9,3.6,14.3,2.9,6.4,12.2,24.8
2X,atp016,5.1,32.7,6.5,15.3,1.5,3.6,13.1,22.2
2X,BA64,4.5,31.8,5.2,13.0,0.6,7.1,13.6,24.1
2X,sf12,3.4,26.1,8.2,15.8,2.1,6.2,12.4,25.8
2X,Loschbour,3.6,28.9,9.4,12.3,2.2,5.8,14.5,23.3
2X,SRA62,5.6,33.0,4.0,12.9,4.0,1.6,17.7,21.2
1X,Ust_Ishim,3.7,17.7,12.1,7.5,5.6,6.5,22.4,24.6
1X,Yana1,5.3,20.0,12.7,12.0,3.3,5.3,20.0,21.3
1X,USR1,2.1,8.5,35.0,6.9,6.4,5.8,14.9,20.4
1X,Kolyma1,3.0,10.9,32.2,3.5,9.4,7.9,13.9,19.3
1X,KK1,5.7,22.8,10.7,17.8,2.1,4.3,14.3,22.3
1X,WC1,4.0,25.5,5.6,15.9,1.6,1.6,19.9,26.0
1X,BOT2016,2.7,16.4,18.5,15.8,6.0,4.9,13.1,22.6
1X,Yamnaya,8.6,25.2,4.0,18.9,2.3,3.4,13.8,23.7
1X,Stuttgart,2.1,27.6,4.8,17.9,2.8,5.5,15.9,23.5
1X,NE1,2.0,34.2,5.4,12.7,3.3,8.0,12.7,21.7
1X,JP14,2.1,26.0,4.9,18.9,0,4.9,16.8,26.3
1X,PB675,5.1,29.4,5.8,16.0,1.3,7.7,9.6,25.1
1X,2H10,1.5,31.8,6.8,13.6,3.0,0.8,18.2,24.3
1X,2H11,2.8,33.5,3.6,12.8,3.6,6.4,12.1,25.2
1X,atp016,4.6,30.5,8.0,16.6,2.7,3.3,11.9,22.3
1X,BA64,3.9,31.3,4.6,13.7,0.7,7.8,14.3,23.7
1X,sf12,3.8,25.3,8.8,15.8,1.9,7.0,12.0,25.4
1X,Loschbour,3.5,30.2,9.1,12.6,2.1,6.3,14.0,22.1
1X,SRA62,7.2,35.0,1.6,11.9,2.4,2.4,18.3,21.2
05X,Ust_Ishim,3.5,19.4,9.7,8.8,7.1,6.2,20.3,24.9
05X,Yana1,4.9,21.7,14.0,11.9,4.2,4.9,19.6,18.8
05X,USR1,2.7,9.6,34.0,6.4,6.9,5.8,15.9,18.7
05X,Kolyma1,2.9,10.3,31.8,4.9,10.3,7.3,14.2,18.2
05X,KK1,5.2,24.5,8.2,20.8,2.2,5.2,13.4,20.4
05X,WC1,4.1,24.9,5.0,16.6,1.7,1.7,20.7,25.4
05X,BOT2016,3.2,17.4,17.9,16.9,5.3,6.3,12.1,21.0
05X,Yamnaya,8.6,27.6,4.3,16.8,2.2,4.3,13.5,22.7
05X,Stuttgart,2.1,27.6,6.2,17.9,2.8,5.5,14.5,23.4
05X,NE1,2.7,35.0,6.1,12.8,2.7,6.7,12.8,21.2
05X,JP14,1.4,30.1,4.3,16.5,0,5.7,17.9,24.0
05X,PB675,4.6,28.5,6.6,15.2,2.0,7.3,10.6,25.1
